_id,AÑO,CVE_ENT,ENTIDAD,HOMBRES,MUJERES,DESCONOCIDO,TOTAL,POBLACION_HOMBRES,POBLACION_MUJERES,POBLACION_TOTAL,TASA_HOMBRES,TASA_MUJERES,TASA_TOTAL
97,1992,28,Tamaulipas,100,11,0,111,1206539,1214911,2421450,8.28816971519363,0.905416116900744,4.58403022982098
98,1992,29,Tlaxcala,12,2,0,14,414790,421582,836372,2.89303020805709,0.474403556129057,1.67389630451522
99,1992,30,Veracruz,128,19,0,147,3282403,3320501,6602904,3.89958210493958,0.572202809154402,2.22629315828308
100,1992,31,Yucatán,56,9,0,65,741598,744834,1486432,7.55126092573065,1.20832292833034,4.37288755893307
101,1992,32,Zacatecas,23,7,0,30,664441,683946,1348387,3.46155640606164,1.02347261333497,2.22488054245554
102,1992,33,Extranjero,12,0,0,12,,,,,,
103,1993,0,Nacional,2029,339,1,2369,44226367,45138193,89364560,4.58776096169057,0.751026962909215,2.65093902996893
104,1993,1,Aguascalientes,14,1,0,15,404533,418809,823342,3.4607807026868,0.238772328197341,1.8218431708816
105,1993,2,Baja California,48,1,0,49,991089,968860,1959949,4.84315737537194,0.103214086658547,2.50006505271311
106,1993,3,Baja California Sur,17,2,0,19,183401,175058,358459,9.26930605612838,1.14247849284237,5.3004667200433
107,1993,4,Campeche,31,3,0,34,308560,301950,610510,10.0466683951257,0.993541977148535,5.56911434702134
108,1993,5,Coahuila,55,4,1,60,1069581,1070550,2140131,5.14220054395132,0.373639717902013,2.80356669755263
109,1993,6,Colima,9,3,0,12,237101,237253,474354,3.79585071340905,1.26447294660131,2.52975625798454
110,1993,7,Chiapas,44,13,0,57,1764418,1746362,3510780,2.49374014547573,0.744404653788848,1.62357083041375
111,1993,8,Chihuahua,88,6,0,94,1357072,1354330,2711402,6.4845490880366,0.443023487628569,3.46684113974984
112,1993,9,Ciudad de México,235,51,0,286,4131554,4433324,8564878,5.68793243413979,1.15037836169881,3.33921860883483
113,1993,10,Durango,19,5,0,24,717860,725740,1443600,2.64675563480344,0.688951966268912,1.66251039068994
114,1993,11,Guanajuato,79,11,0,90,2120999,2226393,4347392,3.72465993619045,0.494072699653655,2.07020668943587
115,1993,12,Guerrero,36,11,0,47,1419256,1456009,2875265,2.53654027180438,0.755489835571071,1.63463193827352
116,1993,13,Hidalgo,21,2,0,23,1025416,1042581,2067997,2.04794932008083,0.19183161787909,1.11218730007829
117,1993,14,Jalisco,165,45,0,210,2893063,3017873,5910936,5.70329785421196,1.49111642537642,3.55273682543678
118,1993,15,Estado de México,85,22,0,107,5551492,5642098,11193590,1.53111992235601,0.389925875091145,0.955904227330106
119,1993,16,Michoacán,89,10,0,99,1898827,1983512,3882339,4.68710419643285,0.504156264242414,2.55000915685106
120,1993,17,Morelos,19,4,0,23,672537,694616,1367153,2.82512337611165,0.575857740103885,1.68232816663534
121,1993,18,Nayarit,12,3,0,15,446741,442612,889353,2.68612014567725,0.677794546916939,1.68661937385942
122,1993,19,Nuevo León,91,15,0,106,1722879,1712084,3434963,5.28185670612968,0.876125236845856,3.08591388029507
123,1993,20,Oaxaca,75,8,0,83,1599672,1645441,3245113,4.68846113453258,0.486191847656646,2.55769213583626
124,1993,21,Puebla,45,15,0,60,2245217,2332249,4577466,2.00426061267129,0.643156026650671,1.31076888391962
125,1993,22,Querétaro,17,1,0,18,593431,605989,1199420,2.86469699088858,0.165019497053577,1.50072535058612
126,1993,23,Quintana Roo,17,3,0,20,323631,301720,625351,5.25289604518727,0.994299350391091,3.19820388869611
127,1993,24,San Luis Potosí,51,9,0,60,1082662,1097296,2179958,4.71061143736457,0.820198014027209,2.75234660484285
128,1993,25,Sinaloa,66,7,0,73,1200016,1183690,2383706,5.49992666764443,0.591371051542211,3.06245820583579
129,1993,26,Sonora,64,8,0,72,1019848,998896,2018744,6.27544496826978,0.800884176130448,3.56657406783624
130,1993,27,Tabasco,130,15,0,145,844635,837645,1682280,15.3912636819455,1.79073473846319,8.61925482083839
131,1993,28,Tamaulipas,104,14,0,118,1229892,1238291,2468183,8.45602703326796,1.1305904670227,4.78084485631738
132,1993,29,Tlaxcala,5,0,0,5,424780,432400,857180,1.17707990018362,0,0.583308056650879
133,1993,30,Veracruz,174,27,0,201,3320487,3365860,6686347,5.24019518823594,0.802172401704171,3.00612576643121
134,1993,31,Yucatán,75,11,0,86,757340,760656,1517996,9.90308183906832,1.44612019099304,5.66536407210559
135,1993,32,Zacatecas,26,6,0,32,668377,688046,1356423,3.89002015329672,0.87203471860893,2.35914607758789
136,1993,33,Extranjero,23,3,0,26,,,,,,
137,1994,0,Nacional,2218,398,0,2616,45000843,45952662,90953505,4.92879655610007,0.866108692462691,2.8761948206394
138,1994,1,Aguascalientes,13,1,0,14,416608,431143,847751,3.12043935786159,0.231941606381178,1.65142830854815
139,1994,2,Baja California,63,8,0,71,1030646,1007046,2037692,6.1126710820204,0.794402639005567,3.48433423697006
140,1994,3,Baja California Sur,11,1,0,12,188280,180065,368345,5.84236243892076,0.555355010690584,3.25781536331428
141,1994,4,Campeche,33,13,0,46,317380,310970,628350,10.3976306005419,4.1804675692189,7.32076072252725
142,1994,5,Coahuila,52,8,0,60,1084260,1086425,2170685,4.79589766292218,0.736360080079159,2.76410441865126
143,1994,6,Colima,21,5,0,26,242204,242590,484794,8.6703770375386,2.0610907292139,5.36310267866351
144,1994,7,Chiapas,49,14,0,63,1791716,1776942,3568658,2.73480841829844,0.787870397570658,1.76536950304568
145,1994,8,Chihuahua,111,16,0,127,1385225,1383264,2768489,8.01313865978451,1.15668447960765,4.5873398810687
146,1994,9,Ciudad de México,242,62,0,304,4142184,4446376,8588560,5.84232858801058,1.39439399636918,3.5395922017195
147,1994,10,Durango,35,1,0,36,723324,731058,1454382,4.83877211318856,0.136788052384353,2.47527815938316
148,1994,11,Guanajuato,101,18,0,119,2152311,2260294,4412605,4.69263038659376,0.796356580161696,2.69681967907846
149,1994,12,Guerrero,44,9,0,53,1440626,1478062,2918688,3.05422781485271,0.608905445103115,1.81588439737307
150,1994,13,Hidalgo,26,4,0,30,1044344,1062584,2106928,2.4896011275978,0.376440827266362,1.42387400044045
151,1994,14,Jalisco,200,38,0,238,2946622,3070154,6016776,6.78743320317299,1.23772292855668,3.9556067900816
152,1994,15,Estado de México,99,36,0,135,5705927,5804911,11510838,1.73503797016681,0.620164546881081,1.17280774866261
153,1994,16,Michoacán,111,16,0,127,1921463,2007282,3928745,5.77684816205152,0.797097767030243,3.23258445126879
154,1994,17,Morelos,18,4,0,22,693971,717257,1411228,2.59376832749495,0.557680162061855,1.55892598502864
155,1994,18,Nayarit,26,3,0,29,452176,448105,900281,5.74997346166095,0.669485946374176,3.22121648685244
